Air Temperature,Humidity,Interval Rain,Wind Speed,Barometric Pressure,Solar Radiation,Battery Life
-1.06,64,0,3.3,998,7,14.9
0.2,65,0,1,999.9,2,11.9
-0.56,64,0,3.3,997.6,6,14.9
0.5,67,0,1.2,999.4,2,11.9
-0.17,66,0,3.3,997,6,15.2
1,69,0,1.7,998.9,1,11.9
0.39,66,0,3.3,996.6,7,15.2
1.5,68,0,1.1,998.5,2,12
1,65,0,3.3,996.3,6,14.9
2.4,67,0,1.4,998.3,2,12
1.67,65,0,3.3,995.6,5,15.1
3,68,0,1.9,997.6,1,11.9
2.39,65,0,3.3,995.3,6,14.9
3.9,67,0,2,997.2,1,12
3,65,0,3.3,994.6,7,15.2
4.4,66,0,1.1,996.4,1,12
3.28,65,0,3.3,994.2,5,15.2
4.9,65,0,1.7,996.1,1,11.9
3.67,63,0,3.3,993.6,7,15.2
5.3,65,0,2.5,995.4,1,12
4.28,61,0,3.3,992.9,6,14.9
5.6,63,0,1.7,994.7,1,12.1
5,60,0,3.3,991.9,19,15.2
6.3,60,0,1.6,993.7,11,11.9
5.67,58,0,3.3,990.5,119,15.1
6.9,66,0,1.8,992.4,51,12
5,63,0,3.3,989.8,173,15.1
3.9,74,0,0.5,991.6,117,12
3.06,72,0,3.3,989.2,450,15.1
4.2,72,0,0.9,991,45,11.9
3.5,70,0,3.3,988.8,536,15.1
5,69,0,3.1,990.8,447,11.8
3.39,67,0,3.3,988.8,504,15.2
4.9,66,0,3.8,990.8,180,12.1
7.17,51,0,3.3,988.5,473,15.2
5.7,63,0,2.9,990.5,439,12.1
4.28,61,0,3.3,987.8,379,15.1
5,66,0,2.1,990,371,12
4.56,64,0,3.3,987.5,101,15.2
6.2,65,0,2.3,989.5,126,12
4.5,65,0,3.3,987.1,91,15.1
5.6,67,0,1.3,989.1,76,12
4.28,66,0,3.3,986.5,15,15.2
5.7,67,0,2.7,988.3,13,12
4.56,64,0,3.3,986.1,6,15.1
6.2,65,0,3,988,1,12
4.78,62,0,3.3,985.8,4,15.2
6.3,63,0,2.4,987.2,1,12.1
5.28,60,0,3.3,985.4,6,15.2
7.2,59,0,4.6,986.8,1,11.9
4.89,59,0,3.3,985.8,7,15.2
7.3,58,0,3.2,987.5,0,12
3.89,59,0,3.3,986.5,6,15.2
7.1,57,0,2.5,988.3,0,12
3.06,61,0,3.3,987.5,6,15.2
5.5,58,0,1.2,989.3,0,12
3,61,0,3.3,988.5,6,15.1
4.6,62,0,1.9,990.5,1,11.9
2.78,61,0,3.3,989.2,8,15.2
4.2,62,0,2.4,991,1,11.9
2.78,59,0,3.3,988.8,6,14.9
4.3,59,0,1.2,990.7,1,12
3,56,0,3.3,989.5,6,14.9
4.2,58,0,1.4,991.7,1,12
3.28,54,0,3.3,990.9,6,14.9
4.3,56,0,0.5,993,1,12
3.5,52,0,3.3,991.2,6,15.2
4.5,53,0,1.2,993,1,12
3.28,51,0,3.3,992.6,6,15.2
4.4,53,0,1.2,994.6,1,11.9
3.06,50,0,3.3,992.9,10,15.1
4,53,0,0.8,994.9,7,11.9
0.78,69,0,3.3,993.9,62,14.9
3.7,54,0,1.1,995.7,52,11.9
0.06,70,0,3.3,994.2,149,15.2
3.4,54,0,1.1,996.2,131,12
0,64,0,3.3,994.6,310,15.2
1.5,64,0,2.1,996.3,199,11.9
-0.78,62,0,3.3,994.6,281,14.9
0.7,63,0,3.7,996.5,223,11.9
-0.78,59,0,3.3,995.6,465,15.2
0.5,56,0,0.9,998,219,12
0.1,54,0,0.5,999.2,399,11.9
-2.6,64,0,4.7,1000,332,12
-3.3,63,0,4.5,1000.6,212,12
-4.5,66,0,3.3,999,123,15
-3,65,0,3.3,1001.1,128,12
-4.78,69,0,3.3,999.7,12,15.2
-3.2,66,0,2.6,1001.7,9,12
-4.56,72,0,3.3,999.7,5,14.9
-3.1,68,0,2.5,1001.8,3,12
-4.39,68,0,3.3,1000.3,5,15.2
-3.4,70,0,2.6,1002.2,3,12
-4.06,67,0,3.3,999.3,6,15
-3.3,70,0,3.9,1001.2,3,11.9
-3.67,70,0,3.3,1000.7,6,15
-2.8,70,0,3.7,1002.4,2,12
-3.67,71,0,3.3,1001,6,14.9
-2.7,70,0,4.3,1002.8,2,12
-3.78,69,0,3.3,1001.7,6,15.2
-2.8,70,0,3.5,1003.5,3,12
-3.78,68,0,3.3,1002.4,7,15
-2.8,71,0,2.5,1004,3,12
-3.56,70,0,3.3,1002.7,6,15
-2.5,71,0,3.7,1004.6,2,11.9
-3.5,66,0,3.3,1002.7,5,14.9
-2.5,70,0,3.3,1004.6,2,11.8
-3.5,68,0,3.3,1002.7,5,14.9
-2.4,69,0,2.6,1004.7,2,12
-3,66,0,3.3,1003,6,14.9
-2.3,68,0,2.7,1004.9,2,11.9
-2.78,65,0,3.3,1002.4,11,14.9
-1.9,68,0,1.8,1004.5,6,11.9
-2.89,66,0,3.3,1002.4,45,15
-1.9,70,0,2,1004.5,36,12
-3,66,0,3.3,1002.7,121,15.1
-1.9,69,0,2.8,1004.7,99,11.9
-2.89,65,0,3.3,1003,473,15.2
-2.1,68,0,2.8,1004.8,92,11.9
-3.28,65,0,3.3,1003.7,498,15.2
-2.5,69,0,3.2,1005.5,452,12
-3.67,66,0,3.3,1004.4,513,14.9
-2.9,71,0,3,1006.3,119,12
-4,66,0,3.3,1005.1,474,15.2
-3.1,70,0,3.8,1007,367,11.9
-4.56,71,0,3.3,1005.1,396,15.2
-3.7,73,0,4,1007.1,412,12
-4.89,71,0,3.3,1005.1,269,14.9
-3.9,73,0,2.6,1006.8,274,11.9
-4.67,71,0,3.3,1004.7,70,14.9
-3.8,75,0,3.3,1006.8,63,12
-4.78,70,0,3.3,1004.4,12,15
-3.7,74,0,2.6,1006.5,6,12
-4.5,74,0,3.3,1004.4,7,15
-3.7,77,0,2.4,1006.2,2,11.9
-4.28,75,0,3.3,1003.4,5,15
-3.8,77,0,1.5,1005.4,2,12
-4.39,73,0,3.3,1003.7,6,14.9
-3.6,76,0,3.4,1005.3,2,12
-4.5,74,0,3.3,1005.1,5,15.2
-3.6,78,0,2.5,1006.8,2,12
-5.56,80,0,3.3,1005.4,5,15.1
-4.7,81,0.6,2.5,1007.1,2,11.9
-5,67,0,3.3,1005.1,5,14.9
-3.7,68,0,2.8,1007,2,11.9
-4.28,60,0,3.3,1005.1,6,14.9
-3.6,59,0,2.3,1006.8,3,12
-4.56,59,0,3.3,1005.1,6,15
-3.7,61,0,3.2,1006.9,2,12
-5.06,57,0,3.3,1005.1,5,15
-4,61,0,2.6,1007.1,3,12
-5.5,53,0,3.3,1005.8,6,15
-4.4,59,0,2.9,1007.6,3,11.8
-5.67,53,0,3.3,1006.1,4,15
-4.5,59,0,1.9,1007.9,3,11.9
-5.89,56,0,3.3,1006.1,12,15
-4.6,58,0,1.6,1007.9,9,12
-6,54,0,3.3,1005.8,114,14.9
-5.1,58,0,1.4,1007.7,36,12
-6.06,54,0,3.3,1006.1,194,14.9
-4.9,61,0,3.2,1008,123,12
-6.06,57,0,3.3,1006.4,447,15.2
-5.2,65,0,3.1,1008.3,32,12
-6.5,64,0,3.3,1006.8,492,14.9
-5.1,69,0,3.2,1008.8,443,12
-6.39,66,0,3.3,1007.5,522,14.9
-5.4,70,0,2.8,1009.5,61,11.9
-6.78,67,0,3.3,1007.8,496,14.9
-5.7,68,0,3.4,1010.1,496,11.9
-7.17,63,0,3.3,1007.8,410,14.9
-5.7,64,0,2.6,1009.7,408,12
-8.17,59,0,3.3,1006.8,267,15
-6.7,61,0,1,1008.7,278,11.9
-9.56,58,0,3.3,1006.1,128,15.1
-7.3,57,0,1.8,1008.1,145,11.9
-10.06,56,0,3.3,1005.4,11,15.2
-8.4,57,0,1.9,1007.7,8,12
-9.89,53,0,3.3,1005.1,6,15
-8.3,56,0,0.9,1007.4,4,11.9
-9.5,52,0,3.3,1004.7,6,15
-7.5,55,0,1.8,1006.7,3,11.8
-7.5,60,0,3.3,1003.7,5,15
-6.5,62,0,1.8,1006,3,12
-6.78,58,0,3.3,1002.7,6,15
-5.9,61,0,5.8,1005.2,3,12
-6.39,54,0,3.3,1002.7,6,15
-5.2,57,0,3.3,1005.1,3,11.9
-5.17,54,0,3.3,1002,6,15
-4.3,58,0,6.6,1004.3,3,11.9
-4.5,47,0,3.3,1001,7,14.9
-3.5,55,0,7.1,1003.4,3,11.9
-3.78,47,0,3.3,1000.3,6,14.9
-3.1,53,0,6.4,1002.4,2,11.9
-3.39,50,0,3.3,999.3,7,14.9
-2.7,52,0,6.4,1001.9,3,11.9
-2.28,56,0,3.3,998.3,8,14.9
-1.6,59,0,9.5,1000.7,2,12
-1.39,56,0,3.3,997.6,6,15.1
-0.6,64,0,7.8,999.8,2,12
