Air Temperature,Humidity,Interval Rain,Wind Speed,Barometric Pressure,Solar Radiation,Battery Life
-1.06,64.0,0.0,3.3,998.0,7.0,14.9
0.2,65.0,0.0,1.0,999.9,2.0,11.9
-0.56,64.0,0.0,3.3,997.6,6.0,14.9
0.5,67.0,0.0,1.2,999.4,2.0,11.9
-0.17,66.0,0.0,3.3,997.0,6.0,15.2
1.0,69.0,0.0,1.7,998.9,1.0,11.9
0.39,66.0,0.0,3.3,996.6,7.0,15.2
1.5,68.0,0.0,1.1,998.5,2.0,12.0
1.0,65.0,0.0,3.3,996.3,6.0,14.9
2.4,67.0,0.0,1.4,998.3,2.0,12.0
1.67,65.0,0.0,3.3,995.6,5.0,15.1
3.0,68.0,0.0,1.9,997.6,1.0,11.9
2.39,65.0,0.0,3.3,995.3,6.0,14.9
3.9,67.0,0.0,2.0,997.2,1.0,12.0
3.0,65.0,0.0,3.3,994.6,7.0,15.2
4.4,66.0,0.0,1.1,996.4,1.0,12.0
3.28,65.0,0.0,3.3,994.2,5.0,15.2
4.9,65.0,0.0,1.7,996.1,1.0,11.9
3.67,63.0,0.0,3.3,993.6,7.0,15.2
5.3,65.0,0.0,2.5,995.4,1.0,12.0
4.28,61.0,0.0,3.3,992.9,6.0,14.9
5.6,63.0,0.0,1.7,994.7,1.0,12.1
5.0,60.0,0.0,3.3,991.9,19.0,15.2
6.3,60.0,0.0,1.6,993.7,11.0,11.9
5.67,58.0,0.0,3.3,990.5,119.0,15.1
6.9,66.0,0.0,1.8,992.4,51.0,12.0
5.0,63.0,0.0,3.3,989.8,173.0,15.1
3.9,74.0,0.0,0.5,991.6,117.0,12.0
3.06,72.0,0.0,3.3,989.2,450.0,15.1
4.2,72.0,0.0,0.9,991.0,45.0,11.9
3.5,70.0,0.0,3.3,988.8,536.0,15.1
5.0,69.0,0.0,3.1,990.8,447.0,11.8
3.39,67.0,0.0,3.3,988.8,504.0,15.2
4.9,66.0,0.0,3.8,990.8,180.0,12.1
7.17,51.0,0.0,3.3,988.5,473.0,15.2
5.7,63.0,0.0,2.9,990.5,439.0,12.1
4.28,61.0,0.0,3.3,987.8,379.0,15.1
5.0,66.0,0.0,2.1,990.0,371.0,12.0
4.56,64.0,0.0,3.3,987.5,101.0,15.2
6.2,65.0,0.0,2.3,989.5,126.0,12.0
4.5,65.0,0.0,3.3,987.1,91.0,15.1
5.6,67.0,0.0,1.3,989.1,76.0,12.0
4.28,66.0,0.0,3.3,986.5,15.0,15.2
5.7,67.0,0.0,2.7,988.3,13.0,12.0
4.56,64.0,0.0,3.3,986.1,6.0,15.1
6.2,65.0,0.0,3.0,988.0,1.0,12.0
4.78,62.0,0.0,3.3,985.8,4.0,15.2
6.3,63.0,0.0,2.4,987.2,1.0,12.1
5.28,60.0,0.0,3.3,985.4,6.0,15.2
7.2,59.0,0.0,4.6,986.8,1.0,11.9
4.89,59.0,0.0,3.3,985.8,7.0,15.2
7.3,58.0,0.0,3.2,987.5,0.0,12.0
3.89,59.0,0.0,3.3,986.5,6.0,15.2
7.1,57.0,0.0,2.5,988.3,0.0,12.0
3.06,61.0,0.0,3.3,987.5,6.0,15.2
5.5,58.0,0.0,1.2,989.3,0.0,12.0
3.0,61.0,0.0,3.3,988.5,6.0,15.1
4.6,62.0,0.0,1.9,990.5,1.0,11.9
2.78,61.0,0.0,3.3,989.2,8.0,15.2
4.2,62.0,0.0,2.4,991.0,1.0,11.9
2.78,59.0,0.0,3.3,988.8,6.0,14.9
4.3,59.0,0.0,1.2,990.7,1.0,12.0
3.0,56.0,0.0,3.3,989.5,6.0,14.9
4.2,58.0,0.0,1.4,991.7,1.0,12.0
3.28,54.0,0.0,3.3,990.9,6.0,14.9
4.3,56.0,0.0,0.5,993.0,1.0,12.0
3.5,52.0,0.0,3.3,991.2,6.0,15.2
4.5,53.0,0.0,1.2,993.0,1.0,12.0
3.28,51.0,0.0,3.3,992.6,6.0,15.2
4.4,53.0,0.0,1.2,994.6,1.0,11.9
3.06,50.0,0.0,3.3,992.9,10.0,15.1
4.0,53.0,0.0,0.8,994.9,7.0,11.9
0.78,69.0,0.0,3.3,993.9,62.0,14.9
3.7,54.0,0.0,1.1,995.7,52.0,11.9
0.06,70.0,0.0,3.3,994.2,149.0,15.2
3.4,54.0,0.0,1.1,996.2,131.0,12.0
0.0,64.0,0.0,3.3,994.6,310.0,15.2
1.5,64.0,0.0,2.1,996.3,199.0,11.9
-0.78,62.0,0.0,3.3,994.6,281.0,14.9
0.7,63.0,0.0,3.7,996.5,223.0,11.9
-0.78,59.0,0.0,3.3,995.6,465.0,15.2
0.5,56.0,0.0,0.9,998.0,219.0,12.0
0.1,54.0,0.0,0.5,999.2,399.0,11.9
-2.6,64.0,0.0,4.7,1000.0,332.0,12.0
-3.3,63.0,0.0,4.5,1000.6,212.0,12.0
-4.5,66.0,0.0,3.3,999.0,123.0,15.0
-3.0,65.0,0.0,3.3,1001.1,128.0,12.0
-4.78,69.0,0.0,3.3,999.7,12.0,15.2
-3.2,66.0,0.0,2.6,1001.7,9.0,12.0
-4.56,72.0,0.0,3.3,999.7,5.0,14.9
-3.1,68.0,0.0,2.5,1001.8,3.0,12.0
-4.39,68.0,0.0,3.3,1000.3,5.0,15.2
-3.4,70.0,0.0,2.6,1002.2,3.0,12.0
-4.06,67.0,0.0,3.3,999.3,6.0,15.0
-3.3,70.0,0.0,3.9,1001.2,3.0,11.9
-3.67,70.0,0.0,3.3,1000.7,6.0,15.0
-2.8,70.0,0.0,3.7,1002.4,2.0,12.0
-3.67,71.0,0.0,3.3,1001.0,6.0,14.9
-2.7,70.0,0.0,4.3,1002.8,2.0,12.0
-3.78,69.0,0.0,3.3,1001.7,6.0,15.2
-2.8,70.0,0.0,3.5,1003.5,3.0,12.0
-3.78,68.0,0.0,3.3,1002.4,7.0,15.0
-2.8,71.0,0.0,2.5,1004.0,3.0,12.0
-3.56,70.0,0.0,3.3,1002.7,6.0,15.0
-2.5,71.0,0.0,3.7,1004.6,2.0,11.9
-3.5,66.0,0.0,3.3,1002.7,5.0,14.9
