f1,f2,f3,f4
161,206,112,102
153,109,135,159
140,139,98,132
59,130,114,180
198,192,148,198
125,122,138,80
58,115,83,128
199,82,120,113
168,120,153,92
98,89,32,172
152,145,126,118
48,95,203,198
80,147,84,131
76,84,126,111
185,143,79,192
87,130,101,160
124,104,136,197
135,125,171,120
94,27,120,134
166,168,129,137
144,132,167,170
42,143,110,134
67,85,195,41
117,198,92,176
179,33,193,119
192,86,115,183
184,42,114,169
167,128,60,126
123,139,151,76
167,135,164,75
96,91,120,102
145,101,33,156
38,203,157,233
106,47,128,112
71,93,94,111
216,214,77,117
87,163,123,166
130,165,176,197
148,161,102,184
157,146,170,91
220,155,34,133
109,105,104,156
108,142,63,42
138,116,96,108
168,91,185,133
175,155,98,73
134,153,175,134
150,145,147,112
159,89,111,113
125,108,99,110
176,105,77,115
122,145,141,162
172,50,148,54
146,181,175,172
120,99,42,50
125,156,177,179
74,139,125,77
149,150,172,86
164,149,170,145
136,126,118,174
125,219,90,152
147,126,98,162
178,71,147,124
131,92,182,122
38,204,116,199
166,175,109,102
65,111,141,113
108,131,83,167
185,166,75,76
156,133,201,114
101,155,129,192
230,69,113,176
183,131,66,143
112,98,94,157
67,175,101,172
86,178,70,122
101,192,51,129
183,160,40,111
145,104,66,103
136,127,98,125
213,83,165,141
218,170,186,99
136,117,188,150
135,133,119,135
152,186,115,190
165,110,167,105
159,49,93,150
75,140,113,187
171,60,87,113
138,94,116,142
56,103,95,90
150,157,112,117
158,126,80,232
152,48,141,120
179,97,220,225
121,85,47,121
126,106,132,157
100,103,135,140
129,167,206,96
220,105,119,116
154,86,112,186
191,154,109,122
92,133,112,157
81,88,111,153
143,153,138,53
138,199,109,128
133,152,98,160
238,143,180,71
100,183,71,148
96,134,105,61
154,118,129,82
214,153,135,242
67,208,165,142
152,144,140,132
146,125,110,211
163,203,113,63
33,125,211,129
136,171,125,129
155,99,92,111
162,132,104,149
98,134,103,85
88,110,104,131
132,211,147,135
169,154,143,101
182,71,94,104
82,166,199,101
150,134,158,175
83,98,44,140
67,130,151,88
66,193,121,171
128,189,176,192
