f1 , f2 , f3 , f4
0,15,82,155
56,231,181,42
35,200,28,250
210,49,25,4
36,199,27,252
234,186,254,213
211,51,24,5
198,83,186,209
134,86,115,21
35,198,28,252
198,83,185,211
133,16,59,85
233,66,98,86
23,77,96,79
233,68,96,85
233,66,98,84
235,186,255,212
110,19,64,73
198,83,185,211
199,223,153,134
168,69,69,166
95,8,215,159
147,24,45,206
93,6,215,158
200,181,1,59
36,199,28,252
231,67,96,84
236,188,254,214
149,81,64,130
93,6,217,158
151,80,64,131
160,206,25,226
241,25,132,87
93,7,217,159
37,199,27,250
200,82,186,209
148,25,45,205
149,81,63,129
234,186,255,212
199,83,187,211
224,96,108,188
200,83,186,210
150,80,63,131
199,83,187,210
201,183,2,59
203,202,117,44
210,51,25,5
150,82,64,130
199,83,185,210
234,187,255,214
200,82,187,210
203,200,117,43
204,201,116,44
11,87,248,179
166,121,155,50
192,227,104,111
167,30,46,17
149,82,63,131
199,83,187,210
149,80,63,129
236,187,255,213
205,201,116,44
211,49,25,5
247,132,152,52
235,188,255,212
85,130,229,25
95,6,216,160
234,186,255,212
24,196,11,249
211,50,25,5
53,110,35,183
208,0,29,54
210,51,26,3
201,83,233,86
232,66,96,85
209,50,26,5
201,182,2,59
150,80,65,129
201,183,3,60
232,67,96,84
35,198,29,252
94,8,215,159
234,187,254,213
93,8,217,160
210,49,25,4
235,188,255,214
45,84,22,48
202,183,3,59
76,116,55,182
241,0,158,11
201,183,1,61
234,188,255,212
85,227,161,237
199,84,186,209
132,239,181,111
208,242,64,10
204,202,117,42
147,25,47,204
234,186,254,212
150,82,65,131
129,98,195,219
171,126,21,178
36,200,29,251
244,222,90,73
35,200,29,252
35,198,27,250
209,50,24,4
159,56,21,197
147,25,47,205
235,186,255,213
231,67,97,84
198,82,187,209
151,81,64,130
201,181,1,59
210,50,25,5
151,80,65,131
149,24,45,205
208,57,198,174
200,83,187,211
209,49,24,4
70,126,136,13
150,82,65,130
36,200,29,250
150,82,63,131
198,10,245,63
101,29,89,215
147,23,47,205
94,7,215,160
200,84,187,210
236,186,255,213
50,218,234,17
200,183,2,61
233,66,96,85
189,160,189,168
151,81,64,129
201,183,3,60
204,202,115,42
82,114,125,78
204,201,116,44
231,66,97,84
147,23,45,204
122,208,30,125
230,165,247,214
223,135,19,139
231,67,96,85
211,50,25,4
37,200,28,252
115,81,180,189
35,199,28,252
203,202,117,43
234,187,255,212
205,201,117,42
211,50,26,3
165,89,87,241
201,181,2,60
200,183,2,60
72,27,79,188
45,17,185,250
198,82,185,211
232,67,98,85
150,82,63,130
161,80,37,133
17,245,141,43
198,84,185,210
205,201,116,44
210,50,24,5
209,50,25,5
231,68,96,86
210,51,25,3
35,199,28,250
200,84,186,211
201,182,1,60
10,100,121,88
211,50,25,3
201,182,2,60
100,31,33,166
149,81,63,129
211,51,25,4
232,66,97,84
8,237,15,221
156,218,73,196
37,199,27,250
211,51,26,3
36,199,27,250
205,202,116,43
149,82,64,131
199,84,186,209
235,186,255,214
211,49,26,3
94,7,216,160
179,238,244,56
94,8,217,158
122,161,29,229
116,20,8,35
200,182,1,59
60,74,168,61
149,23,46,205
127,181,129,160
200,181,2,59
201,182,1,61
149,82,65,129
147,23,47,205
209,50,26,3
152,246,206,76
210,51,24,5
76,164,238,29
200,182,1,60
210,49,24,4
148,23,45,205
232,68,96,84
149,24,45,206
139,101,147,221
210,50,26,3
36,198,27,251
94,8,216,160
41,70,217,253
235,188,255,212
14,65,58,84
149,82,64,130
75,53,246,163
235,224,48,19
151,80,64,130
173,24,109,236
36,198,28,250
133,204,12,241
176,72,21,23
210,50,25,4
205,200,115,42
153,194,189,82
209,51,24,5
211,49,26,5
205,201,116,43
95,7,215,158
201,183,2,61
141,211,46,22
149,23,46,204
37,199,27,250
150,81,63,129
211,50,26,4
55,47,23,209
199,84,187,210
235,187,255,213
37,198,27,250
200,84,186,211
210,50,24,3
147,25,47,204
95,8,215,158
168,138,154,121
62,30,111,132
36,200,28,251
235,187,255,214
151,81,63,131
209,49,26,5
198,84,185,211
26,150,11,48
7,108,144,135
148,23,45,205
37,198,27,251
234,126,75,172
71,40,210,95
151,81,64,129
203,200,115,43
2,1,199,8
37,198,29,250
50,232,218,250
233,67,97,86
151,81,64,130
94,7,215,160
209,51,26,3
93,8,217,160
147,242,157,166
95,7,216,160
78,40,117,209
209,50,24,3
203,200,117,42
148,24,47,204
157,211,173,177
236,188,255,212
235,188,255,213
230,71,194,40
205,200,117,44
149,81,63,129
149,23,46,204
132,23,51,155
94,8,217,159
235,187,255,213
235,187,254,212
60,236,31,52
236,188,255,213
36,198,27,251
209,51,24,3
200,182,3,61
236,188,255,212
175,178,41,33
227,162,75,90
236,187,255,214
203,201,117,44
201,182,3,59
203,201,115,43
203,200,115,42
211,50,25,4
175,136,143,253
204,201,115,44
89,45,77,109
149,82,64,129
150,80,64,130
150,82,63,131
232,67,96,85
233,66,97,84
196,11,209,238
150,80,63,131
200,84,187,210
147,24,47,206
250,96,91,80
142,150,126,94
235,188,255,213
148,23,46,204
217,29,229,112
210,49,24,4
94,6,216,160
93,7,217,160
151,80,64,131
147,23,46,206
183,193,59,212
233,67,96,84
200,183,1,61
141,241,185,11
247,254,169,134
42,90,32,45
150,80,65,131
209,50,26,5
149,24,46,204
149,81,63,130
149,81,64,129
176,216,228,41
102,95,3,227
38,249,60,113
200,82,186,210
235,186,254,213
236,188,255,212
149,81,64,130
115,205,56,221
131,238,22,222
95,6,215,160
204,200,115,44
201,183,3,61
105,144,148,82
209,49,25,5
234,187,254,214
201,183,2,60
174,31,237,103
202,182,1,61
211,51,24,5
235,186,255,214
9,54,225,79
231,67,97,84
200,183,2,59
78,42,221,122
131,246,196,169
209,51,24,5
203,201,116,42
211,49,25,5
55,142,41,80
149,25,47,204
201,183,1,61
172,68,33,132
200,181,2,60
200,83,186,210
37,199,29,252
147,99,94,156
150,82,65,130
199,84,187,209
255,233,49,157
210,51,26,3
200,181,2,59
236,188,255,212
37,200,28,250
148,23,45,204
248,236,197,81
151,81,64,130
124,101,50,21
152,181,190,96
147,23,47,204
36,200,27,250
139,30,45,8
203,202,116,42
209,49,26,5
202,182,3,59
205,200,117,43
149,25,45,206
202,182,2,60
209,49,25,4
209,49,24,3
149,25,46,206
200,181,2,60
235,187,254,212
181,24,107,22
133,134,38,26
235,186,254,213
236,186,255,212
210,49,24,4
37,200,28,250
202,183,2,60
150,80,64,130
58,13,74,160
94,8,215,159
37,198,29,251
188,181,142,49
113,29,163,63
149,23,46,204
183,105,57,147
232,67,96,86
201,181,1,59
249,215,106,47
249,54,93,143
210,51,26,3
139,145,228,249
205,201,115,42
232,68,98,86
231,66,96,86
150,80,65,131
224,61,203,156
203,200,117,44
199,84,187,210
234,186,255,214
211,50,24,5
233,68,96,86
19,53,141,224
234,186,255,213
37,200,28,250
11,50,65,21
234,188,255,212
231,67,97,85
37,198,29,252
203,201,116,42
133,15,58,101
246,47,243,80
210,49,24,4
249,4,251,75
149,82,65,130
37,198,27,252
7,204,137,164
235,187,254,214
95,8,217,159
151,80,64,129
219,174,74,109
149,81,65,130
203,200,116,43
205,202,116,43
211,50,26,5
199,82,185,209
232,67,96,86
148,25,46,205
199,83,187,211
232,67,98,85
179,240,141,23
150,82,63,131
204,200,115,42
35,200,29,251
204,201,117,44
203,201,117,44
200,84,185,210
144,73,49,144
209,49,26,5
35,198,28,251
147,25,47,206
203,247,55,241
205,200,115,42
232,66,96,86
247,75,123,107
102,110,70,212
2,91,46,66
36,200,29,250
157,33,192,144
232,66,97,86
205,201,115,42
95,7,217,158
149,23,47,204
17,186,100,150
200,192,60,108
36,198,28,251
236,188,255,212
37,198,29,250
205,202,116,42
205,202,117,43
232,66,96,85
198,157,197,251
35,200,29,251
93,8,215,158
231,68,97,85
203,201,116,42
198,25,23,232
236,188,255,213
127,101,189,107
95,6,217,158
198,82,186,209
211,50,24,3
95,6,215,160
40,244,240,208
199,84,186,209
235,187,255,212
210,51,25,5
56,236,107,1
201,183,1,60
199,83,187,210
149,80,64,131
54,194,146,255
235,11,199,252
85,93,144,41
149,24,45,206
149,23,47,206
35,199,28,251
163,213,116,225
94,8,217,159
151,80,65,131
198,83,187,211
234,186,255,214
94,8,215,158
110,236,40,213
203,202,117,42
13,189,185,94
200,183,1,59
202,181,2,59
147,23,47,205
198,84,187,209
204,201,115,44
35,199,28,252
205,201,117,44
150,81,65,131
203,200,117,43
200,83,187,211
209,51,25,5
201,181,3,60
36,200,28,250
211,50,25,4
94,8,217,158
93,8,217,158
36,200,27,251
95,6,217,158
209,49,25,5
95,7,216,160
205,201,117,44
148,24,46,206
118,195,4,161
232,67,97,85
141,178,76,102
234,187,255,214
80,170,3,101
220,175,63,114
199,82,187,209
217,197,255,216
235,187,254,214
102,189,151,74
93,7,216,160
151,80,63,129
201,182,2,61
232,68,96,85
120,98,15,196
209,51,26,5
150,82,63,131
149,82,64,131
235,187,255,213
232,66,98,86
36,198,27,250
37,200,27,252
211,51,26,3
36,51,228,145
148,23,46,206
211,50,24,3
149,81,64,131
151,82,65,129
174,152,221,70
199,84,186,209
106,137,164,168
235,187,255,214
178,37,49,236
211,49,24,5
236,222,105,102
95,7,216,159
84,53,239,189
218,39,0,46
232,68,97,85
95,7,216,160
205,200,116,42
149,25,47,206
236,188,255,214
201,182,3,60
205,201,117,42
93,6,216,158
149,24,47,206
95,6,217,158
124,202,242,222
35,198,27,252
209,51,26,5
204,202,117,43
148,25,45,206
200,183,1,61
127,224,218,149
38,135,31,135
211,49,25,5
69,3,183,176
232,68,98,86
149,24,45,205
200,183,2,59
149,80,63,129
233,68,97,84
26,67,163,183
233,68,96,85
148,25,46,205
37,185,236,243
149,81,65,130
202,4,131,97
34,107,73,249
35,50,230,10
233,67,97,84
243,223,133,208
235,188,255,214
211,222,240,254
203,200,117,44
151,80,65,130
151,82,64,131
93,6,215,160
204,202,117,42
35,198,28,252
151,80,63,129
203,202,115,42
95,8,215,159
150,82,65,131
198,57,194,131
212,205,254,78
150,82,63,130
200,183,3,61
83,180,149,217
202,182,1,61
147,25,46,205
26,72,91,58
137,168,88,89
201,182,2,61
95,8,215,158
149,23,46,206
92,212,134,132
93,8,217,158
234,187,255,213
236,187,255,213
235,188,255,212
73,253,73,11
198,83,187,210
197,32,102,44
209,51,26,4
95,8,216,160
36,199,27,251
149,80,64,130
154,131,112,30
91,50,212,191
149,80,65,130
200,182,2,61
35,200,29,250
25,208,22,48
211,50,26,5
35,200,27,251
150,81,63,129
202,182,1,59
135,189,52,245
233,66,97,84
148,206,61,245
95,7,215,158
236,188,255,213
203,202,117,42
147,24,47,204
209,49,24,3
203,201,116,42
205,202,117,42
234,186,255,212
149,24,46,206
244,98,81,177
232,67,96,84
234,187,254,213
57,148,202,33
172,45,141,205
235,190,216,76
119,166,241,36
200,82,185,210
45,207,125,127
198,83,185,209
203,202,117,42
151,81,65,131
37,200,28,250
204,200,116,44
202,182,1,59
201,183,3,61
37,199,28,251
234,186,254,212
204,201,117,43
149,24,45,206
149,81,65,129
236,187,254,212
199,82,185,209
202,182,3,59
149,136,116,101
232,68,97,84
148,24,45,205
233,68,97,84
198,142,145,16
94,7,216,160
37,198,27,251
95,8,217,160
233,66,97,85
201,181,2,60
95,6,216,160
203,200,117,43
205,200,117,43
148,95,73,221
115,107,16,13
150,81,63,129
205,200,115,42
60,70,160,240
205,35,29,195
131,174,113,65
200,84,187,210
202,182,2,61
151,81,63,129
211,50,25,5
232,66,96,86
173,100,99,126
201,183,2,60
205,202,115,43
148,23,46,206
92,148,190,78
139,73,13,199
232,66,96,86
205,200,117,44
148,23,46,204
95,8,215,159
232,67,96,84
254,74,68,46
126,86,69,13
135,255,221,49
233,83,66,63
51,8,139,63
232,67,97,84
148,24,45,204
150,80,64,129
94,6,216,159
137,201,55,245
86,31,179,171
231,67,96,85
217,18,93,208
203,202,116,44
124,119,200,59
118,54,201,149
209,43,122,80
210,50,24,5
149,24,47,205
234,187,255,213
20,240,213,85
148,25,46,206
235,186,255,212
231,66,98,85
231,66,96,86
151,80,65,130
95,8,216,159
201,182,1,61
64,118,68,99
236,187,255,212
157,48,113,110
134,203,160,79
204,200,116,44
199,83,185,209
37,199,28,252
235,188,255,212
223,180,153,125
209,49,24,4
235,131,215,42
236,188,254,214
198,84,187,210
200,84,186,210
149,25,47,205
151,80,64,131
175,215,75,173
231,68,98,84
227,38,16,152
236,186,255,212
36,198,27,251
235,187,255,212
212,91,166,62
232,67,96,85
200,83,185,210
206,189,48,142
149,24,46,204
62,96,48,26
199,83,187,209
205,202,117,42
26,117,132,147
201,183,1,60
233,68,96,84
203,201,117,42
37,200,29,251
233,66,98,84
157,143,208,221
94,6,217,158
149,80,65,131
95,6,216,158
149,82,64,130
149,81,65,130
171,3,104,216
154,152,74,41
37,199,29,251
35,199,29,251
149,81,64,131
150,81,64,130
236,187,255,214
210,49,24,3
193,172,11,141
200,83,186,211
95,8,217,158
209,51,26,3
236,187,254,214
204,201,115,42
200,83,186,210
178,126,187,169
81,20,182,151
61,161,108,250
148,25,46,204
67,46,170,246
6,193,37,235
201,183,1,60
191,122,133,152
231,68,97,85
13,212,218,51
15,171,155,202
231,68,97,84
147,24,45,205
234,187,255,213
73,111,96,54
93,8,217,159
202,183,1,60
211,50,25,4
236,188,255,213
204,201,116,43
200,183,2,61
200,183,3,61
150,82,63,131
235,186,255,214
87,0,232,216
151,82,65,129
205,202,116,42
233,66,98,86
149,80,65,131
149,81,63,130
71,102,57,147
231,66,96,86
205,200,117,44
213,86,155,224
199,84,185,211
128,243,183,211
149,81,63,129
149,23,45,204
124,152,176,240
86,223,143,201
150,82,65,130
199,83,187,210
74,171,114,76
204,200,116,42
150,82,63,129
204,200,116,44
235,188,255,213
95,7,215,160
233,67,98,85
246,136,56,227
200,84,187,209
94,7,216,160
236,187,255,213
200,82,185,210
200,181,1,59
200,182,2,59
165,102,126,17
94,6,215,160
93,7,216,159
232,68,97,85
203,201,117,44
111,31,76,175
151,80,64,131
37,199,27,250
52,170,108,15
46,139,124,174
147,25,46,204
211,49,25,5
236,187,255,212
149,23,47,204
115,34,35,174
236,188,255,214
200,181,2,61
37,199,27,251
149,23,45,205
151,80,64,129
148,23,45,206
2,238,31,49
87,187,54,161
234,187,254,213
150,81,64,130
210,51,26,4
211,49,25,5
235,188,255,212
112,4,20,220
150,82,63,129
65,43,58,252
149,24,46,205
50,145,234,203
247,167,224,46
149,25,45,206
174,17,24,193
232,66,96,85
94,7,217,159
37,198,28,251
55,202,203,60
184,119,90,173
209,51,26,3
211,49,24,4
174,94,166,240
235,186,255,212
149,80,63,129
36,200,29,250
234,187,255,213
178,71,162,136
165,50,139,62
231,66,97,85
204,201,117,44
172,81,214,254
236,188,254,213
123,136,110,65
203,200,115,42
202,181,1,59
203,200,116,43
75,165,231,234
111,250,250,144
201,182,1,61
150,81,65,131
149,25,46,204
95,7,215,158
199,84,187,211
149,82,63,129
33,84,122,121
204,240,71,170
198,84,187,211
224,88,53,250
67,113,84,208
37,198,27,251
235,187,255,214
162,238,125,89
149,81,63,131
231,68,96,86
93,7,217,160
233,66,96,85
211,51,24,5
210,49,25,5
