f1 , f2 , f3 , f4
104,95,123,7
103,52,72,0
7,97,20,113
147,159,20,251
26,45,146,194
190,66,105,119
175,47,251,255
28,31,59,12
69,11,103,62
22,223,44,77
1,47,55,11
216,177,238,23
197,175,78,77
186,37,79,49
77,255,106,255
181,58,32,162
47,177,56,255
11,255,255,22
1,68,255,255
18,148,37,58
43,67,255,44
255,108,57,255
135,189,255,46
38,81,44,48
14,52,24,171
255,50,15,156
38,70,37,142
68,118,175,112
29,147,32,82
88,137,126,94
150,19,204,255
79,105,102,49
100,7,91,255
23,255,66,2
223,239,43,9
255,39,38,76
0,0,121,120
24,1,70,255
7,255,86,141
89,36,28,18
215,24,95,114
255,33,86,144
57,107,154,13
108,3,107,255
86,23,54,86
5,104,161,253
0,124,15,44
122,255,61,32
0,255,196,75
30,173,255,66
255,31,192,19
57,59,255,24
35,211,12,50
241,255,231,221
103,12,91,66
6,1,98,74
26,134,77,60
61,152,49,27
38,6,28,33
8,101,54,117
130,20,34,3
37,199,228,32
217,11,66,81
43,56,14,129
38,150,69,23
145,34,16,244
255,179,255,218
127,131,117,59
123,120,36,255
255,255,33,162
113,63,148,119
122,249,177,55
155,117,4,5
83,255,255,138
115,123,0,91
17,65,255,1
189,29,6,32
33,49,41,255
217,101,210,97
6,38,5,72
170,52,208,13
255,109,29,106
67,199,100,116
255,168,77,5
25,92,192,11
18,41,113,218
3,0,255,255
57,255,11,48
134,46,159,40
238,255,136,56
82,11,84,192
42,206,255,196
66,112,75,42
84,35,76,219
197,71,187,137
255,48,67,96
11,255,77,8
44,52,130,70
118,122,48,228
30,255,255,36
10,72,34,17
67,12,34,56
124,23,110,44
109,255,9,83
255,35,48,36
255,107,104,157
3,23,47,38
32,14,28,255
3,133,26,12
217,207,255,22
16,184,255,255
66,13,62,18
172,28,6,8
16,85,154,255
135,255,181,255
112,244,117,146
83,83,232,5
177,205,255,34
115,255,135,22
28,73,75,255
62,255,48,213
87,15,30,255
91,102,50,60
9,4,160,0
0,107,62,121
136,4,17,255
255,177,49,35
169,45,106,234
255,41,135,137
60,57,47,38
255,15,77,43
109,24,116,61
36,94,62,1
6,28,22,24
53,204,47,101
42,113,255,98
31,255,247,117
255,199,104,255
103,225,153,56
164,136,85,99
88,1,11,207
255,121,16,177
89,82,105,255
130,237,199,14
7,130,33,255
238,9,71,64
4,146,254,255
60,3,102,25
171,6,17,146
115,37,3,143
20,20,90,170
30,16,104,125
40,255,215,27
190,157,51,91
148,96,22,146
79,66,120,68
112,40,104,42
102,219,21,84
40,255,150,238
26,255,153,165
175,35,29,255
173,17,24,255
235,255,29,56
51,65,126,14
255,3,46,255
129,74,1,251
179,145,35,80
255,61,255,255
2,20,54,39
82,1,255,48
173,133,78,97
24,25,63,97
76,255,9,41
202,21,121,52
92,5,49,126
255,174,255,42
190,129,255,51
154,146,40,39
14,55,53,120
255,27,68,255
30,6,226,63
6,255,13,52
89,133,21,100
85,90,12,95
150,61,62,43
137,88,155,43
255,17,64,192
246,222,42,255
19,55,74,198
61,255,255,1
72,70,255,33
148,95,255,10
1,22,243,255
64,228,98,234
255,15,41,242
97,46,7,47
255,255,66,255
26,80,29,213
44,96,155,255
39,102,39,32
58,255,44,50
69,219,19,2
101,20,100,130
188,11,147,255
109,255,97,30
30,84,109,79
13,21,1,13
255,110,161,99
84,115,6,93
255,40,94,65
104,43,25,18
11,47,83,63
234,38,28,124
85,255,215,48
65,255,255,80
159,17,108,184
255,102,69,133
23,39,80,34
255,255,59,77
255,172,66,2
36,64,255,111
43,17,40,41
83,131,13,35
222,153,46,132
47,68,39,124
12,4,126,214
57,255,17,255
66,44,255,255
33,255,28,145
28,22,30,100
41,58,46,255
15,40,255,229
193,163,20,37
82,68,29,4
170,126,170,255
19,137,2,121
192,167,37,121
105,98,230,63
28,80,25,63
211,73,170,9
255,133,105,112
26,134,32,230
170,1,255,20
31,82,155,7
44,70,16,54
95,66,69,45
64,153,28,114
133,255,255,120
82,1,167,82
114,12,65,31
51,255,212,200
65,55,53,231
12,125,219,27
153,176,255,255
91,20,67,12
53,140,120,168
3,142,43,198
48,237,13,106
255,12,55,34
255,255,255,215
0,100,14,255
160,239,150,9
216,27,132,223
17,108,226,255
31,1,94,36
43,255,57,186
255,255,195,79
164,136,119,44
93,48,255,255
32,11,81,21
182,158,16,35
255,208,113,87
87,68,152,9
89,15,5,7
56,148,63,96
10,255,255,255
35,131,2,199
87,91,36,255
255,9,157,166
47,226,34,88
129,17,36,26
67,165,65,112
34,76,159,255
54,97,133,255
64,47,108,47
135,255,4,193
13,74,142,178
18,78,49,29
18,80,240,5
95,23,161,118
44,195,66,21
99,52,6,63
52,27,255,34
25,201,187,3
74,183,15,38
42,34,142,21
148,255,136,166
63,5,255,71
251,116,135,255
153,105,98,1
212,0,139,67
132,138,255,146
101,41,19,9
102,239,246,157
94,232,98,215
198,255,255,18
23,53,247,24
55,207,19,37
169,255,73,81
3,36,77,2
102,88,194,86
10,61,37,8
18,49,75,50
255,116,128,19
48,24,255,200
70,83,185,255
232,33,143,255
135,76,11,49
74,235,19,150
100,23,194,25
91,9,17,15
56,255,93,86
255,81,54,134
79,60,151,63
15,91,19,46
1,46,255,185
164,255,92,46
50,255,112,255
163,74,31,156
255,82,63,12
53,107,83,33
58,28,57,102
62,66,69,240
51,255,7,221
54,15,210,31
8,75,1,80
109,186,66,16
243,67,49,81
14,97,175,84
190,18,149,255
115,157,255,44
36,130,36,30
58,255,17,56
255,139,255,255
9,116,31,134
99,113,255,218
255,62,255,90
188,94,57,7
255,91,239,11
96,72,103,43
99,66,59,59
43,73,15,165
79,58,113,29
117,116,188,255
255,92,34,37
120,15,74,200
36,32,144,39
79,45,255,38
203,91,109,213
6,34,33,76
100,83,62,107
113,95,27,138
127,187,255,238
19,87,20,218
51,85,255,3
15,22,0,35
135,192,162,255
104,74,197,39
64,59,255,10
54,24,138,122
92,7,27,10
255,119,255,233
50,96,57,137
44,71,155,6
115,125,249,154
255,255,152,1
255,125,79,236
86,255,21,11
104,255,70,77
73,10,63,25
255,35,89,4
140,255,83,21
102,4,64,255
31,24,47,63
19,74,6,196
7,110,99,40
173,231,70,59
53,14,255,255
44,37,76,78
141,255,10,158
164,46,62,111
255,203,65,23
56,55,98,172
112,76,65,92
220,126,61,255
110,139,23,1
255,62,49,25
255,160,20,14
178,189,27,2
0,255,62,129
55,75,132,70
255,22,255,205
30,168,255,108
1,62,255,235
123,88,85,105
98,148,255,60
114,255,66,255
154,14,14,241
226,116,10,255
184,255,54,153
12,131,255,34
49,255,74,30
79,32,255,7
255,141,71,34
113,255,48,229
47,144,103,118
163,8,255,164
110,143,145,31
215,69,12,247
115,170,5,255
144,84,60,184
248,255,26,103
255,6,148,7
255,156,25,182
10,23,36,58
22,44,61,255
151,94,255,0
253,108,2,81
249,97,188,171
4,177,19,105
24,1,1,125
198,96,111,9
27,72,17,105
21,39,13,255
15,2,255,255
82,255,179,255
8,255,48,116
54,68,255,122
68,236,255,157
13,179,8,130
87,255,255,114
10,169,255,13
9,27,17,72
255,50,38,25
98,235,82,116
118,48,28,17
230,44,183,120
47,48,4,134
43,225,172,48
202,255,2,136
96,76,7,52
255,255,13,25
46,30,75,253
152,255,200,83
38,24,255,157
48,120,86,59
255,37,146,64
255,10,15,131
159,50,35,34
164,77,255,184
13,1,60,73
99,111,93,166
112,105,12,150
17,53,80,16
55,4,255,147
43,121,20,115
12,255,48,228
86,63,255,187
144,255,255,184
179,4,128,104
107,21,124,255
232,95,166,13
85,11,23,196
228,12,255,60
228,211,8,3
90,78,103,32
235,10,5,54
161,255,32,76
141,255,255,22
88,54,39,14
84,255,244,105
108,195,58,31
33,0,210,255
35,27,67,148
106,255,28,25
77,255,162,8
133,146,20,255
93,43,255,6
16,140,113,4
163,95,255,78
164,149,108,255
50,37,9,94
79,29,218,48
255,18,104,255
63,94,135,215
197,60,255,18
90,63,255,255
73,237,170,10
44,24,30,65
244,41,138,246
30,200,50,117
94,104,158,23
255,94,255,78
87,87,255,12
200,56,255,116
44,21,37,38
137,109,157,26
22,35,32,66
5,246,255,148
124,21,168,32
185,5,72,76
75,79,170,5
20,175,123,83
68,141,14,255
15,38,84,36
110,214,255,29
38,255,255,18
42,81,255,255
82,37,255,115
255,122,255,108
84,70,80,47
255,9,70,107
175,189,32,13
80,129,60,38
255,58,18,90
27,99,73,4
65,11,255,135
85,255,26,6
66,13,40,188
21,31,255,255
12,65,255,255
38,165,255,47
90,38,7,8
255,245,255,255
54,74,28,19
17,27,75,255
144,220,45,101
30,14,2,255
39,48,175,72
146,104,179,102
69,184,235,23
87,255,111,255
83,9,22,255
29,144,22,39
255,93,14,40
48,41,51,255
6,86,116,87
36,208,22,95
81,245,15,28
35,255,19,90
129,188,255,54
90,255,255,137
53,80,7,19
43,255,255,42
62,255,112,38
145,94,138,8
90,25,10,36
118,69,25,20
255,212,172,17
49,8,141,2
72,47,20,78
68,146,97,171
0,61,24,117
255,255,111,252
26,113,45,255
122,130,81,70
255,162,75,54
6,147,6,255
102,255,255,51
255,151,29,46
158,59,5,208
10,12,23,93
19,32,193,143
143,255,102,71
13,44,255,255
42,92,151,42
255,9,125,26
26,30,255,21
13,193,212,106
54,255,17,123
24,87,117,42
205,65,52,82
75,161,31,42
103,25,255,99
108,98,50,115
255,123,255,255
199,31,2,86
28,216,7,52
122,58,230,46
110,255,205,72
121,6,27,255
44,46,255,69
86,52,18,202
5,64,255,71
5,255,50,3
8,255,48,39
15,91,255,183
22,67,155,63
63,254,88,74
176,7,209,255
255,102,255,173
123,37,66,180
8,14,255,69
169,236,6,154
42,99,3,84
31,255,34,39
105,111,89,92
32,114,125,255
21,125,70,51
61,255,212,29
86,255,31,11
207,112,255,255
14,255,51,43
12,87,227,39
163,147,126,92
195,93,255,115
255,92,255,24
49,247,64,0
15,255,109,40
97,12,32,230
70,62,9,39
126,183,23,210
213,255,255,57
255,50,33,68
22,124,255,82
208,162,59,34
255,30,20,73
255,11,170,67
30,133,14,214
56,1,5,85
249,131,43,142
73,36,81,24
140,46,75,189
31,75,99,30
168,116,108,29
135,50,198,255
191,31,23,248
23,95,71,255
55,11,12,87
3,111,65,129
70,174,34,16
87,60,71,56
15,255,24,0
255,255,128,31
71,8,30,255
133,106,24,119
86,20,91,255
29,157,39,141
189,255,148,47
80,255,8,109
132,18,112,73
55,23,98,48
41,22,4,166
15,81,230,183
77,43,34,224
152,255,178,57
13,48,237,51
12,62,10,56
52,80,105,255
77,1,255,6
140,129,91,98
46,70,76,162
18,14,57,81
85,87,42,36
255,28,84,26
66,77,24,177
26,77,15,199
17,140,40,255
12,224,255,123
230,31,9,90
0,194,44,235
32,73,6,242
4,87,59,76
41,88,99,255
255,6,40,181
14,73,64,23
164,255,45,221
114,114,67,14
62,255,29,197
183,4,234,52
13,116,255,245
7,8,100,81
209,255,146,92
39,1,201,255
222,243,195,37
37,92,12,22
160,6,78,94
131,14,201,255
52,57,31,20
54,45,64,41
255,59,22,55
79,104,113,46
251,255,67,31
193,158,76,31
51,255,59,127
20,22,13,3
13,1,167,59
114,187,255,4
8,94,6,11
115,255,16,59
59,37,26,36
43,157,7,16
33,131,74,251
255,61,21,12
180,255,4,195
61,38,14,63
120,125,80,88
180,5,137,32
206,216,40,19
171,255,220,5
255,35,30,109
205,94,33,255
85,255,24,148
174,56,255,57
84,255,255,47
158,4,0,117
143,129,125,93
209,97,255,20
60,131,126,15
78,58,255,8
255,87,255,114
15,15,0,7
3,106,23,56
76,175,255,26
160,27,73,94
84,255,102,255
255,0,40,125
68,112,34,170
255,198,11,44
161,24,7,210
153,50,6,53
189,118,138,13
39,162,233,101
135,99,94,255
77,57,118,93
138,127,41,95
47,255,99,49
64,24,41,251
65,255,151,100
147,173,255,138
76,108,221,24
73,226,77,6
50,25,7,255
6,181,255,42
40,31,153,110
13,255,40,37
171,146,75,90
52,9,31,78
72,105,168,65
184,3,144,87
9,34,38,140
1,227,15,165
20,188,226,255
177,255,86,255
36,39,111,161
49,255,29,143
102,57,5,29
31,44,140,64
15,12,63,108
175,230,190,4
27,79,16,35
99,82,54,1
81,19,16,4
180,106,11,67
71,17,44,91
255,132,115,159
92,68,42,89
123,2,105,93
22,207,26,17
163,91,84,255
18,197,13,22
220,243,82,255
205,33,215,96
70,232,94,9
44,114,223,253
255,32,236,58
26,9,51,13
162,255,88,56
5,97,255,135
129,53,255,80
102,175,255,44
38,98,224,95
17,35,255,81
236,31,94,238
86,240,74,6
68,24,255,95
84,255,23,13
23,67,15,255
5,215,123,26
255,18,199,46
31,169,59,75
125,133,83,20
7,116,53,11
56,42,83,106
40,34,5,152
185,255,80,10
88,68,245,49
20,2,68,107
34,82,69,106
19,176,255,35
132,255,23,7
33,145,71,122
255,43,9,255
255,13,38,2
29,255,110,19
63,3,183,255
79,73,3,62
255,147,43,33
44,113,61,71
1,33,20,31
44,255,208,255
10,255,255,112
172,255,21,46
55,73,118,255
53,28,255,67
158,8,243,55
152,76,255,74
77,37,207,160
115,18,191,10
156,98,10,23
123,116,78,23
2,57,1,69
41,210,160,176
53,181,187,225
90,69,21,167
7,255,139,88
212,81,16,100
99,208,4,255
69,91,255,255
123,28,77,149
204,50,255,219
190,128,15,255
143,46,221,200
8,134,255,71
255,7,48,202
117,36,109,84
91,23,255,59
255,41,71,168
6,139,141,255
151,255,50,28
158,171,38,205
5,75,83,40
49,92,242,117
255,0,97,41
70,47,5,86
67,200,89,255
2,255,99,63
4,99,236,50
130,255,43,58
27,64,64,200
35,118,229,135
160,182,255,255
87,255,255,100
93,129,121,255
255,71,165,255
17,37,175,12
78,25,183,114
180,1,57,80
255,143,63,194
183,12,54,169
2,78,183,37
200,117,132,202
110,39,255,255
224,11,77,147
72,124,255,197
252,93,255,30
156,10,31,7
142,27,197,3
49,55,99,238
166,135,1,231
84,22,196,12
255,28,45,255
76,36,59,185
55,191,237,38
55,50,223,161
28,84,114,221
255,44,34,187
255,30,28,43
173,58,31,144
107,101,29,67
11,255,88,118
51,187,117,13
3,162,19,63
156,151,127,23
231,64,79,48
17,73,161,68
41,68,87,77
149,76,1,255
41,80,11,91
96,114,109,27
40,255,255,15
35,130,114,255
255,156,61,241
255,114,33,2
19,251,68,61
156,47,34,255
10,46,65,211
250,23,60,62
1,0,43,21
255,114,11,24
232,11,181,38
21,21,197,36
50,255,26,156
248,255,65,6
30,10,255,255
125,27,139,210
103,224,37,91
132,95,255,137
249,34,255,96
98,76,33,103
97,211,29,227
13,30,112,10
190,8,175,255
30,255,23,255
189,8,48,56
73,187,7,15
34,45,106,68
186,81,173,44
198,111,48,255
126,64,225,71
192,255,4,255
169,31,34,255
106,29,197,120
165,255,58,55
33,134,50,128
81,32,255,8
28,24,255,255
255,45,255,38
0,219,86,48
113,64,30,20
90,115,11,21
35,106,50,56
169,225,24,60
75,143,117,17
63,129,255,185
105,255,3,37
255,4,120,28
65,92,34,255
196,2,28,12
2,39,42,196
25,16,11,88
141,255,231,67
147,255,1,15
63,117,69,33
40,56,80,72
109,114,87,28
6,57,106,91
2,66,196,87
255,26,103,107
105,146,106,112
255,106,73,81
255,255,145,210
