f1,f2,f3,f4
207,14,0,31
135,0,51,57
171,31,50,16
60,150,154,243
143,157,10,114
213,121,236,63
201,81,0,88
87,135,169,167
212,142,236,115
54,112,174,242
203,122,255,125
65,164,210,184
136,132,109,28
229,149,255,81
225,40,0,10
89,130,114,180
176,70,0,49
178,21,0,56
137,181,81,39
51,122,204,239
80,136,200,205
161,147,43,84
26,96,154,178
82,145,192,181
132,151,88,40
62,123,147,151
54,130,136,211
209,171,252,127
116,152,118,72
255,98,201,104
121,159,30,27
218,44,17,40
76,130,54,87
85,198,7,62
122,146,54,55
63,146,182,241
70,87,183,196
36,191,165,209
140,150,77,111
255,149,255,94
76,81,145,236
188,135,250,108
163,0,16,62
45,85,127,185
73,125,150,156
69,105,126,175
255,161,232,96
255,3,8,0
0,167,210,206
151,50,50,22
91,198,10,43
241,173,238,97
246,7,31,23
99,167,79,43
62,126,171,192
233,27,16,95
72,152,61,0
94,175,15,77
255,86,203,99
198,11,45,59
85,219,106,0
212,159,255,129
219,131,223,145
198,52,22,51
25,160,154,191
214,172,196,35
233,168,213,43
255,23,60,43
46,125,20,82
200,0,19,26
137,178,105,82
136,101,13,60
150,223,59,9
100,108,29,82
168,50,0,68
218,44,0,6
73,188,55,85
238,61,55,54
205,180,169,111
58,121,126,167
208,0,1,25
10,151,232,174
28,135,134,209
127,154,0,21
97,131,119,206
135,155,103,77
94,161,39,68
111,134,194,226
215,0,29,50
100,219,97,114
30,129,134,236
0,125,172,173
217,4,45,53
126,11,70,69
113,169,26,51
50,168,150,181
75,87,212,190
144,131,53,76
106,147,192,182
158,10,0,3
44,164,191,193
115,158,88,67
133,158,255,105
119,189,43,67
95,182,44,61
92,195,193,229
217,31,13,71
163,174,98,25
59,159,121,209
144,184,79,45
188,161,206,126
86,156,55,56
113,150,80,122
64,151,160,196
180,139,255,105
255,74,31,0
242,122,235,91
153,182,101,75
196,0,37,30
152,124,47,7
185,103,255,100
174,142,206,87
78,222,6,89
16,101,209,184
203,88,189,155
149,141,32,10
180,119,207,153
121,137,81,42
240,22,9,9
179,57,21,63
72,218,96,67
181,31,47,0
206,137,221,95
201,52,1,100
146,144,88,53
212,115,255,103
34,126,156,161
89,211,87,51
179,43,28,53
95,95,120,224
93,137,61,72
157,194,57,97
226,70,5,0
46,157,164,167
34,133,143,166
185,0,19,41
186,109,195,85
210,68,36,74
170,50,28,31
152,65,0,0
141,13,76,60
199,39,46,84
172,178,29,82
71,160,136,162
82,166,71,61
26,95,129,229
63,130,111,52
73,161,69,56
0,65,188,195
217,158,255,103
128,148,47,71
159,178,227,91
255,158,225,122
240,139,179,32
139,212,149,175
87,146,166,149
218,196,255,43
148,51,49,21
204,112,255,23
49,157,189,217
255,133,255,142
0,174,75,180
196,29,38,46
45,151,176,169
158,168,52,92
216,142,210,67
94,148,163,226
204,116,255,116
60,202,153,177
23,167,163,193
43,192,113,148
163,35,58,69
33,180,42,64
74,190,44,57
176,173,0,2
45,162,127,190
167,191,191,126
236,157,255,134
182,24,11,19
239,34,0,0
132,154,42,78
176,206,255,136
205,99,0,88
255,213,205,141
210,161,218,122
187,112,23,69
72,216,46,56
124,189,40,86
64,161,66,3
114,152,35,46
196,35,39,45
139,153,51,68
188,31,6,49
182,116,255,80
134,224,116,39
113,96,44,136
39,172,121,186
14,177,168,168
174,139,54,26
221,90,182,74
40,142,119,205
61,110,130,126
173,19,41,13
98,148,44,46
38,171,149,208
43,122,164,255
161,50,6,33
231,174,251,75
74,176,118,181
20,187,84,184
162,102,200,145
214,158,255,128
255,150,233,60
86,136,144,184
194,111,213,81
197,83,36,59
22,153,131,142
121,162,106,65
238,113,206,128
113,169,0,82
216,48,5,41
189,101,242,75
192,43,74,8
70,118,198,210
193,175,244,118
188,65,27,150
53,157,187,211
201,90,179,102
255,134,207,118
77,161,175,219
197,51,0,21
39,145,164,220
224,99,204,134
166,146,196,132
173,98,21,33
207,30,39,19
94,189,80,13
67,104,176,202
189,1,0,35
111,195,26,91
191,45,70,99
132,190,68,67
62,95,144,197
36,111,69,246
90,218,63,95
194,80,50,65
226,130,211,104
236,156,230,145
100,111,136,152
157,0,9,71
95,147,8,49
214,110,236,90
23,134,138,191
115,158,66,101
57,176,42,75
224,114,222,102
121,112,163,189
37,180,147,171
190,52,46,27
224,14,0,58
185,0,89,98
153,141,43,75
73,149,176,255
240,83,255,83
254,71,181,79
221,142,245,74
167,0,23,8
190,167,205,107
206,122,219,95
255,67,0,62
255,190,235,59
185,79,31,84
47,115,153,173
199,107,193,78
233,117,228,83
73,177,54,11
91,111,0,7
123,197,78,66
239,185,231,108
238,63,26,0
255,156,254,55
254,14,0,93
185,93,255,89
87,144,208,205
226,30,50,0
136,164,64,140
183,25,35,56
101,160,56,0
94,143,104,46
92,124,198,186
194,172,216,109
218,161,246,40
35,92,89,176
252,219,204,49
219,48,0,4
153,181,98,104
255,109,192,113
198,26,89,6
205,45,26,49
160,0,25,79
240,29,31,27
103,99,202,135
157,5,0,24
221,146,228,114
212,63,2,23
40,172,191,160
77,129,30,89
250,146,240,66
20,173,133,210
53,185,172,246
70,147,177,169
204,103,41,94
142,21,41,30
133,143,55,66
99,132,157,201
88,172,60,19
27,131,123,179
47,75,161,152
119,202,56,65
78,185,89,56
26,119,140,214
74,114,123,160
236,0,73,78
150,190,139,33
65,126,169,159
200,105,194,51
226,173,240,87
103,201,96,68
0,141,159,168
196,26,15,104
114,195,90,96
45,124,139,113
186,13,84,19
69,145,93,206
225,235,255,82
95,176,82,102
136,119,0,28
206,183,226,37
134,109,23,102
173,83,60,24
63,121,140,204
192,34,0,106
207,0,41,61
146,158,74,62
180,123,234,72
206,0,0,28
113,170,119,34
84,149,80,80
74,98,131,192
236,47,27,80
65,144,178,175
68,161,4,33
236,117,213,127
206,158,198,73
80,144,131,165
230,0,36,23
200,109,239,149
22,131,136,174
34,185,154,171
230,143,255,122
105,96,159,150
226,111,235,122
81,204,96,63
88,210,62,97
58,151,135,203
75,73,191,188
237,121,158,113
137,146,60,28
0,84,147,138
116,159,0,61
241,75,30,26
29,160,124,218
227,22,33,40
145,22,47,0
191,76,210,167
123,154,75,96
189,0,0,66
147,64,21,42
100,158,104,57
143,198,21,77
70,149,96,28
171,18,4,30
0,166,182,215
63,161,17,75
231,139,255,81
241,46,11,44
103,113,126,180
13,134,161,201
210,7,60,10
207,44,4,13
80,200,69,5
255,181,224,48
130,167,53,118
131,148,43,87
220,89,52,54
224,0,64,22
133,201,23,35
212,111,254,111
0,84,175,131
104,169,64,83
220,104,181,105
27,141,118,106
217,0,11,25
106,137,135,155
192,54,45,65
212,99,234,50
127,147,17,0
223,147,201,87
183,19,0,124
139,69,0,21
238,119,227,18
33,189,159,176
224,141,250,80
47,134,78,45
198,146,188,75
21,112,170,218
253,95,255,73
147,92,108,55
235,102,211,160
189,101,17,57
43,114,183,220
255,147,255,116
207,172,255,81
244,49,34,0
228,87,241,66
52,113,120,237
229,149,202,107
40,159,117,233
164,185,80,76
172,54,92,28
111,178,51,57
70,153,95,62
255,190,238,118
39,173,143,161
228,45,12,24
193,153,29,4
221,150,234,68
170,32,0,16
7,93,184,194
31,152,211,195
212,124,255,85
78,136,56,76
180,84,8,6
166,37,17,21
176,130,218,73
17,123,178,207
238,116,221,120
208,57,58,54
255,132,224,64
34,118,137,183
99,182,97,4
179,150,246,100
217,146,209,86
142,165,54,48
40,117,151,227
61,176,103,134
48,170,164,255
193,39,0,0
255,140,251,130
106,164,72,93
111,152,74,72
27,153,94,222
209,91,239,178
172,0,0,75
168,45,0,40
80,249,65,29
230,0,48,34
101,180,78,42
206,30,45,46
194,165,255,104
78,121,199,187
199,139,226,82
151,179,67,33
247,163,199,108
107,103,25,71
167,48,41,17
234,130,200,83
89,171,26,42
74,159,212,194
53,111,184,169
101,1,0,58
0,149,162,173
100,139,68,32
83,120,208,157
82,154,181,255
140,163,80,5
170,20,0,24
255,13,0,23
192,0,6,17
89,185,109,50
31,99,198,164
255,138,217,59
51,142,156,153
222,121,227,104
0,79,146,123
129,154,90,81
118,180,85,91
221,124,229,131
100,179,9,18
50,113,112,137
175,90,55,47
255,220,190,66
189,118,232,83
127,161,26,49
37,125,175,178
255,128,181,81
118,184,60,34
102,139,78,87
222,26,112,14
250,0,59,27
222,199,255,95
218,178,240,131
68,105,164,184
194,152,194,120
139,130,68,49
49,115,151,191
158,175,255,69
38,190,76,12
0,84,118,213
246,98,255,138
209,110,209,147
198,129,235,36
196,2,0,0
57,162,77,193
