f1,f2,f3,f4,f5,f6,f7,f8
201,190,24,224,240,246,227,105
5,45,23,175,127,14,21,9
215,249,116,36,36,106,101,228
62,115,128,187,142,143,106,243
111,178,111,232,70,108,181,75
119,217,251,184,90,202,140,194
13,169,226,170,130,222,23,105
237,169,239,10,76,116,167,177
127,27,177,149,88,58,0,252
134,143,38,225,137,126,68,14
142,171,151,136,185,235,206,113
37,152,15,195,190,225,139,15
40,104,186,180,169,212,132,102
146,220,219,129,188,68,97,130
97,83,176,246,67,186,171,54
117,18,241,174,132,42,39,233
142,93,18,115,57,165,171,48
72,61,125,55,223,180,7,225
26,52,134,91,34,108,143,239
175,149,248,109,132,80,67,255
155,221,49,231,172,158,104,36
122,156,163,221,52,195,152,120
35,134,195,193,154,75,62,177
158,118,133,76,152,21,189,207
201,109,202,30,168,88,151,89
189,153,97,94,190,120,17,32
132,54,203,177,40,147,106,133
129,209,194,117,196,196,121,176
145,169,115,106,130,39,100,126
85,171,231,48,84,63,172,134
109,90,146,182,103,112,170,150
73,38,247,110,13,243,74,27
210,58,146,226,29,126,173,116
57,51,123,178,166,6,111,250
156,209,234,156,44,184,167,107
15,226,157,200,30,20,77,120
24,147,241,26,154,104,206,72
124,242,94,23,126,154,3,42
98,200,184,36,160,182,170,29
24,57,168,172,3,26,202,129
47,211,8,197,122,232,70,160
68,67,50,224,10,134,2,84
223,36,46,173,123,197,148,6
110,147,92,141,123,133,80,158
162,157,38,240,189,139,4,44
206,165,199,48,13,99,199,23
154,75,57,231,171,204,169,202
163,32,27,198,90,179,198,157
75,211,42,187,87,211,39,177
148,222,222,143,97,115,51,31
5,52,28,233,163,51,118,149
165,180,165,129,156,161,219,182
136,236,142,94,223,128,157,153
41,144,96,63,232,32,24,180
28,232,149,99,99,73,230,103
58,235,131,160,191,11,12,95
202,0,159,30,131,0,9,38
22,52,189,155,117,10,69,82
234,181,90,25,44,204,130,115
2,159,242,175,87,7,246,5
126,110,58,158,127,61,166,231
164,196,70,210,69,69,33,126
44,185,188,205,157,169,133,7
7,176,18,18,212,226,232,69
71,183,44,149,242,198,123,161
4,81,195,197,83,156,17,244
173,251,110,90,150,72,193,41
221,113,249,234,76,180,10,140
58,92,203,47,248,192,203,91
184,114,65,15,103,143,136,252
39,105,228,231,56,219,139,150
190,31,150,223,177,254,98,26
173,176,247,22,5,29,175,107
29,153,49,222,99,96,148,4
59,0,204,249,115,153,39,35
0,254,4,169,186,26,197,11
134,22,103,52,12,253,119,23
29,22,20,110,254,193,197,107
19,102,40,114,174,242,93,255
207,226,114,221,235,16,251,130
30,238,55,67,195,187,80,245
217,229,14,4,24,190,91,122
175,63,106,139,103,190,87,102
197,70,253,87,239,47,206,153
47,49,202,50,118,46,124,6
14,142,99,82,129,79,189,17
92,245,221,167,136,17,224,7
187,183,91,222,152,229,88,218
229,77,153,232,84,188,131,80
251,168,83,79,233,30,237,217
67,61,145,143,147,94,87,224
15,4,228,112,242,81,65,244
40,247,205,197,164,17,13,181
3,234,118,125,40,108,141,228
155,179,80,246,33,223,189,127
134,120,68,92,242,14,96,116
194,66,155,7,216,162,225,42
83,0,29,173,115,204,137,3
79,95,23,82,81,13,241,180
50,137,54,209,133,57,202,243
232,128,94,154,76,245,107,244
155,243,181,58,65,172,33,115
160,153,229,172,159,96,98,191
82,178,47,125,153,210,184,212
229,52,250,104,101,246,243,219
155,176,222,13,183,102,124,16
100,235,252,186,228,54,164,80
103,150,26,252,54,231,108,192
27,26,247,172,226,107,147,175
97,63,154,158,192,113,95,36
119,73,63,129,130,203,105,152
192,16,181,246,227,194,194,116
153,69,51,1,172,135,1,167
175,249,252,167,249,98,6,185
175,202,71,213,206,252,130,248
61,114,239,248,125,110,113,231
214,169,151,141,177,211,234,123
156,85,1,205,130,225,114,3
187,82,147,51,157,150,47,172
12,228,97,75,56,158,63,15
13,249,157,55,88,171,178,160
135,203,52,94,4,241,6,220
186,151,67,248,175,52,29,238
154,106,51,56,75,201,98,30
166,226,21,243,255,215,104,248
49,158,218,182,88,227,14,70
231,77,175,127,170,193,87,25
103,47,94,1,53,200,1,111
67,151,255,161,218,69,98,103
18,141,10,68,113,24,96,162
84,195,159,237,121,55,194,36
228,212,31,218,172,46,17,137
14,125,104,168,137,60,254,239
225,245,73,103,209,252,6,179
241,6,224,238,209,128,174,225
136,221,200,75,27,133,153,146
82,149,104,38,144,139,96,23
22,148,236,157,200,238,227,219
134,179,181,255,234,50,36,171
181,34,164,187,109,52,214,26
186,243,53,59,133,96,59,15
201,216,114,210,210,7,146,10
18,178,153,24,208,249,22,193
56,189,156,200,46,20,157,201
168,104,34,181,221,250,235,218
234,22,221,147,106,57,189,58
39,33,166,7,199,222,148,172
74,59,153,71,140,123,103,243
99,106,255,164,19,221,168,30
169,85,246,66,209,9,169,42
185,201,8,153,165,67,30,170
125,231,42,11,242,116,114,251
142,89,240,203,203,44,241,202
225,220,81,200,47,28,92,134
57,148,198,192,6,99,98,199
198,225,25,129,229,238,65,198
178,221,135,103,199,211,91,104
22,142,128,16,186,29,6,161
185,193,49,169,67,170,106,76
80,230,221,12,210,239,126,71
110,56,82,48,91,153,117,116
105,166,147,93,78,110,199,16
97,189,107,89,126,54,118,119
